u,v
410515575,410515698
410515575,410515576
410515575,452946208
410515576,410515697
410515576,410516551
410515576,410515577
410515576,410515575
410515577,410516552
410515577,410515696
410515577,410515578
410515577,410515576
410515578,11549975003
410515578,410516553
410515578,410515577
410515578,410521575
410515580,410498912
410515580,410516555
410515580,4290483460
410515580,453091491
410515581,410516557
410515581,410514897
410515581,410518448
410515696,410515577
410515696,452949069
410515696,410515697
410515696,11549975003
410515697,452949051
410515697,410515576
410515697,410515698
410515697,410515696
410515698,410515575
410515698,452946221
410515698,410515697
410515698,452946227
410516549,595691479
410516549,410376412
410516549,452946219
410516550,410516844
410516550,410515575
410516550,410516551
410516550,452946210
410516551,410515576
410516551,410516845
410516551,410516552
410516551,410516550
410516552,410516846
410516552,410515577
410516552,410516553
410516552,410516551
410516553,410516848
410516553,410515578
410516553,410521574
410516553,410516552
410516555,410515580
410516555,410498911
410516555,4290483461
410516555,453091493
410516557,410516849
410516557,410515581
410516557,410518449
410516844,410522372
410516844,410516550
410516844,410516845
410516844,410376412
410516845,410516551
410516845,410522374
410516845,410516846
410516845,410516844
410516846,410522376
410516846,410516552
410516846,410516845
410516846,410516848
410516848,410516553
410516848,410522380
410516848,410521573
410516848,410516846
410516849,410516557
410516849,410518450
410516849,410234556
410518319,410536818
410518319,410518450
410518319,410518320
410518319,2919969104
410518320,410518321
410518320,410518449
410518320,410520703
410518320,410518319
410518321,410518320
410518321,410518322
410518321,410518448
410518321,410520702
410518322,410520701
410518322,410513380
410518322,410518321
410518323,410234556
410518323,1532282676
410518323,4196579706
410518447,410518448
410518447,410513380
410518447,410514897
410518448,410518449
410518448,410518447
410518448,410515581
410518448,410518321
410518449,410518448
410518449,410516557
410518449,410518320
410518449,410518450
410518450,410516849
410518450,410518319
410518450,410522155
410518450,410518449
410518452,1532282676
410518452,410519321
410518452,410522155
410518569,410536818
410518569,1502918710
410518569,410522253
